,Close_Corr,Vol_Corr
BMBL,0.43960707240031066,0.9089720529796572
UPST,0.13938922206735727,0.4549004725244044
RGC,0.4711367878568586,0.7475619808969443
CXM,0.04643657976567627,0.07318547923006477
DOCN,0.3166582583157511,0.483068499254577
