Date,TweetCount,Close,Volume,count_pct_chg,close_pct_chg,vol_pct_chg
2021-03-12,509,48.02,28596221,-0.5604490500863557,-0.033800872838778306,-0.7079191727610933
2021-03-15,213,50.45,16880257,-0.581532416502947,0.05060391503540185,-0.4097032261710385
2021-03-16,211,47.05,14184064,-0.009389671361502372,-0.06739345887016857,-0.15972464163312206
2021-03-17,161,43.29,14526303,-0.23696682464454977,-0.07991498405951114,0.024128416228240468
2021-03-18,144,43.89,14914990,-0.10559006211180122,0.013860013860013787,0.02675746196399742
2021-03-19,91,44.77,11923211,-0.3680555555555556,0.020050125313283207,-0.2005887365663671
2021-03-22,60,44.87,4861971,-0.34065934065934067,0.0022336385972747674,-0.5922263725769845
2021-03-23,107,46.0,8314654,0.7833333333333334,0.025183864497437147,0.7101405993577501
2021-03-24,66,43.79,7863714,-0.383177570093458,-0.04804347826086963,-0.05423436741925758
2021-03-25,67,43.73,7347259,0.015151515151515138,-0.0013701758392327124,-0.06567570997622751
2021-03-26,54,43.61,3777850,-0.19402985074626866,-0.0027441115938714455,-0.48581505021124205
2021-03-29,102,46.02,4645793,0.8888888888888888,0.05526255445998629,0.22974522545892495
2021-03-30,109,48.69,4751797,0.06862745098039214,0.05801825293350715,0.022817202574458184
2021-03-31,93,49.42,7419694,-0.14678899082568808,0.014992811665639927,0.5614501208700624
2021-04-01,92,47.23,4584905,-0.010752688172043001,-0.04431404289761243,-0.3820627912687504
2021-04-05,103,45.9,4388919,0.11956521739130443,-0.028160067753546403,-0.04274592385229359
2021-04-06,77,46.57,2323836,-0.2524271844660194,0.014596949891067634,-0.47052201236796576
2021-04-07,45,45.31,3413414,-0.4155844155844156,-0.027056044663946732,0.4688704366401071
2021-04-08,54,45.53,4416353,0.19999999999999996,0.00485544030015439,0.29382284129613345
2021-04-09,66,45.85,3835972,0.22222222222222232,0.007028332967274231,-0.1314163519084638
2021-04-12,47,45.28,3586118,-0.28787878787878785,-0.012431842966194151,-0.06513446917756438
2021-04-13,86,47.09,3464963,0.8297872340425532,0.03997349823321561,-0.03378444323360241
2021-04-14,55,45.72,3536696,-0.36046511627906974,-0.029093225737948702,0.02070238556659909
2021-04-15,41,45.82,3045159,-0.2545454545454545,0.0021872265966753623,-0.13898197639831078
2021-04-16,26,45.92,2795322,-0.36585365853658536,0.00218245307725895,-0.08204399179156163
2021-04-19,36,45.72,3252160,0.3846153846153846,-0.004355400696864131,0.16342947252588425
2021-04-20,43,42.62,8285386,0.19444444444444442,-0.0678040244969379,1.5476563268719867
2021-04-21,52,41.98,3895717,0.20930232558139528,-0.015016424213984081,-0.5298086293143132
2021-04-22,74,42.84,7159687,0.42307692307692313,0.020485945688423213,0.8378354998579209
2021-04-23,65,45.55,4490781,-0.1216216216216216,0.06325863678804833,-0.3727685302444087
2021-04-26,50,45.63,1723616,-0.23076923076923073,0.0017563117453349708,-0.6161879192060357
2021-04-27,40,45.55,1800545,-0.19999999999999996,-0.0017532325224633993,0.04463233109927045
2021-04-28,38,43.6855,2831271,-0.050000000000000044,-0.04093304061470915,0.5724522297415504
2021-04-29,46,42.52,3108876,0.21052631578947367,-0.026679332959448687,0.09804960387048789
2021-04-30,29,41.91,3303189,-0.3695652173913043,-0.014346190028222128,0.06250265369220265
2021-05-03,37,42.05,2509618,0.27586206896551735,0.003340491529467915,-0.24024389763952347
2021-05-04,35,41.43,3555044,-0.05405405405405406,-0.014744351961950009,0.41656778043511
2021-05-05,28,41.26,3167588,-0.19999999999999996,-0.004103306782524796,-0.10898768060254671
2021-05-06,41,40.22,3655652,0.4642857142857142,-0.025206010664081457,0.15408064432621926
2021-05-07,69,38.92,2969471,0.6829268292682926,-0.03232222774738924,-0.18770413595167157
2021-05-10,47,37.06,4812071,-0.3188405797101449,-0.04779033915724562,0.6205145630315971
2021-05-11,51,36.28,5107569,0.0851063829787233,-0.021046950890447946,0.06140765587207664
2021-05-12,165,35.36,6075250,2.235294117647059,-0.02535832414553474,0.1894601913356433
2021-05-13,264,32.03,14369118,0.6000000000000001,-0.09417420814479638,1.3651895806756924
2021-05-14,133,36.4101,10841267,-0.4962121212121212,0.1367499219481736,-0.24551618269124098
2021-05-17,97,35.19,9472415,-0.2706766917293233,-0.033509932683513655,-0.12626310190497103
2021-05-18,74,37.25,5795731,-0.23711340206185572,0.058539357772094514,-0.3881464230610673
2021-05-19,45,37.1,5491926,-0.3918918918918919,-0.00402684563758382,-0.05241875442459287
2021-05-20,54,38.72,5808604,0.19999999999999996,0.043665768194069976,0.05766246668290864
2021-05-21,37,38.01,2618701,-0.31481481481481477,-0.01833677685950419,-0.5491686126305046
2021-05-24,115,40.51,6312303,2.108108108108108,0.06577216521967899,1.4104710694348075
2021-05-25,71,40.19,4631411,-0.3826086956521739,-0.00789928412737595,-0.26628823109410305
2021-05-26,70,41.78,4811381,-0.014084507042253502,0.03956208011943274,0.03885856815557931
2021-05-27,49,41.0,3816628,-0.30000000000000004,-0.018669219722355246,-0.20674999547946837
2021-05-28,32,40.77,2155507,-0.34693877551020413,-0.00560975609756087,-0.4352326189505501
2021-06-01,47,41.29,2401097,0.46875,0.01275447633063509,0.113936071652748
2021-06-02,28,40.84,2807729,-0.4042553191489362,-0.01089852264470803,0.1693525917528529
2021-06-03,30,39.52,2104138,0.0714285714285714,-0.032321253672869754,-0.25059077995062917
2021-06-04,48,38.91,2774010,0.6000000000000001,-0.015435222672064985,0.3183593471530859
2021-06-07,48,38.58,2397202,0.0,-0.00848111025443321,-0.13583512676594534
2021-06-08,33,38.15,3198663,-0.3125,-0.011145671332296492,0.33433185855843606
2021-06-09,28,37.78,1996832,-0.1515151515151515,-0.00969855832241151,-0.3757291718446113
