Date,TweetCount,close,volume,tweet_pct_chg,close_pct_chg,volume_pct_chg
2021-05-20,480,20.24,42800757,,,
2021-05-21,274,22.39,15512845,-0.4291666666666667,0.10622529644268797,-0.6375567609703725
2021-05-24,57,20.71,7285437,-0.791970802919708,-0.0750334970969182,-0.5303610008351144
2021-05-25,40,21.18,4932242,-0.29824561403508776,0.022694350555287235,-0.3229998420135951
2021-05-26,49,21.63,2446139,0.2250000000000001,0.021246458923512623,-0.5040513016190203
2021-05-27,70,22.17,4779462,0.4285714285714286,0.024965325936199934,0.9538799716614632
2021-05-28,83,23.7,3117904,0.18571428571428572,0.06901217861975639,-0.3476454044409183
2021-06-01,111,25.15,6387881,0.3373493975903614,0.06118143459915615,1.048774112352401
2021-06-02,50,23.8,2847697,-0.5495495495495495,-0.05367793240556651,-0.5542031856886501
2021-06-03,41,23.88,1325948,-0.18000000000000005,0.003361344537815114,-0.5343788331413069
2021-06-04,25,23.81,1718048,-0.3902439024390244,-0.002931323283082099,0.29571295405249676
2021-06-07,47,24.97,2319804,0.8799999999999999,0.0487190256194876,0.35025563895770073
2021-06-08,93,26.96,3106554,0.9787234042553192,0.07969563476171415,0.33914503121815454
2021-06-09,56,26.28,2705177,-0.3978494623655914,-0.02522255192878342,-0.12920329084895998
2021-06-10,45,26.65,1327991,-0.1964285714285714,0.014079147640791323,-0.5090927506776821
2021-06-11,183,28.73,3387380,3.0666666666666664,0.07804878048780495,1.5507552385520684
2021-06-14,190,27.395,4107651,0.03825136612021862,-0.04646710755308048,0.21263365787127508
2021-06-15,89,27.76,1922734,-0.531578947368421,0.013323599196933822,-0.5319139819814294
2021-06-16,65,27.49,2295482,-0.2696629213483146,-0.009726224783861759,0.19386352974462406
2021-06-17,55,26.7,3658879,-0.15384615384615385,-0.028737722808293897,0.593948024859267
2021-06-18,54,25.9,2260065,-0.018181818181818188,-0.029962546816479474,-0.38230671197380395
2021-06-21,37,26.3,1467523,-0.31481481481481477,0.015444015444015635,-0.35067221517965186
2021-06-22,31,25.79,1378550,-0.16216216216216217,-0.019391634980988615,-0.06062801060017453
2021-06-23,50,25.8426,1616841,0.6129032258064515,0.0020395502132610765,0.17285626201443538
2021-06-24,83,24.8001,3088295,0.6599999999999999,-0.04034036822920295,0.9100795934788888
2021-06-25,58,24.39,2470284,-0.3012048192771084,-0.01653622364425944,-0.20011397874879178
2021-06-28,42,25.32,1957795,-0.27586206896551724,0.038130381303812966,-0.2074615712201512
2021-06-29,40,25.76,2494037,-0.04761904761904767,0.01737756714060046,0.2739009957630907
2021-06-30,54,24.47,2109610,0.3500000000000001,-0.05007763975155288,-0.15413845103340484
2021-07-01,43,23.38,2477536,-0.20370370370370372,-0.04454434000817331,0.17440474779698611
2021-07-02,30,23.05,2558305,-0.3023255813953488,-0.014114627887082953,0.03260053537062624
